Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1757509602,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1757509603,10,,Aggregated,0.000000,0.000000,5,210,210,220,220,220,230,230,230,230,230,28,28,5,79.66126428644722,1.9306000031065196,234.79370000131894,0.0
1757509604,20,,Aggregated,0.000000,0.000000,5,7,9,12,210,220,220,230,230,230,230,97,97,5,27.72046598085543,1.7711999971652403,234.79370000131894,0.0
1757509605,30,,Aggregated,0.000000,0.000000,4,5,7,8,14,210,220,220,230,230,230,199,199,4,16.06157286476985,1.5773000050103292,234.79370000131894,0.0
1757509606,50,,Aggregated,21.000000,21.000000,4,5,5,6,11,17,210,220,230,230,230,335,335,4,11.087165671920252,1.0611000034259632,234.79370000131894,0.0
1757509607,50,,Aggregated,38.333333,38.333333,4,6,7,10,21,140,220,230,290,290,290,435,435,4,20.15730620689032,1.0611000034259632,289.1806999978144,0.0
1757509608,50,,Aggregated,53.750000,53.750000,5,7,14,27,430,640,700,730,770,770,770,492,492,5,84.08861890238472,1.0611000034259632,774.3401000043377,0.0
1757509609,50,,Aggregated,70.600000,70.600000,5,11,130,220,620,670,720,750,770,770,770,544,544,5,131.98644319853724,1.0611000034259632,774.3401000043377,0.0
1757509610,50,,Aggregated,72.666667,72.666667,6,18,230,550,680,770,880,970,1100,1100,1100,586,586,6,180.23012883955937,1.0611000034259632,1094.1058000025805,0.0
1757509611,50,,Aggregated,70.285714,70.285714,7,200,550,640,770,910,1100,1100,1100,1100,1100,637,637,7,234.4225072212831,1.0611000034259632,1148.99110000988,0.0
1757509612,50,,Aggregated,68.000000,68.000000,8,210,550,620,750,890,1000,1100,1100,1100,1100,760,760,8,237.20612578951037,1.0611000034259632,1148.99110000988,0.0
1757509614,50,,Aggregated,65.111111,65.111111,7,21,390,560,710,850,1000,1100,1100,1100,1100,918,918,7,197.33205773419505,1.0611000034259632,1148.99110000988,0.0
1757509615,50,,Aggregated,76.200000,76.200000,6,11,200,480,680,820,980,1100,1100,1100,1100,1084,1084,6,168.05294354236975,1.0611000034259632,1148.99110000988,0.0
1757509616,50,,Aggregated,87.600000,87.600000,6,9,34,220,660,780,970,1100,1100,1100,1100,1247,1247,6,146.8682203687922,1.0611000034259632,1148.99110000988,0.0
1757509617,50,,Aggregated,96.700000,96.700000,5,8,14,140,640,760,950,1000,1100,1100,1100,1411,1411,5,130.33250439401579,1.0611000034259632,1148.99110000988,0.0
1757509618,50,,Aggregated,96.700000,96.700000,6,8,14,150,630,750,920,1000,1100,1100,1100,1487,1487,6,128.50925232004553,1.0611000034259632,1148.99110000988,0.0
1757509619,50,,Aggregated,102.400000,102.400000,6,9,18,220,660,820,970,1000,1100,1100,1100,1528,1528,6,145.98694155750962,1.0611000034259632,1148.99110000988,0.0
1757509620,50,,Aggregated,105.100000,105.100000,6,10,140,480,730,910,1100,1100,1200,1200,1200,1579,1579,6,173.26909005686358,1.0611000034259632,1208.8284000055864,0.0
1757509621,50,,Aggregated,103.600000,103.600000,6,11,220,500,720,900,1100,1100,1200,1200,1200,1644,1644,6,183.70453929427154,1.0611000034259632,1208.8284000055864,0.0
1757509622,50,,Aggregated,102.500000,102.500000,7,16,320,510,710,900,1100,1100,1200,1200,1200,1721,1721,7,191.8453506099793,1.0611000034259632,1208.8284000055864,0.0
1757509623,50,,Aggregated,104.800000,104.800000,7,17,260,480,690,880,1000,1100,1200,1200,1200,1875,1875,7,183.60412181320135,1.0611000034259632,1208.8284000055864,0.0
1757509624,50,,Aggregated,107.400000,107.400000,6,12,210,420,670,880,1000,1100,1200,1200,1200,2034,2034,6,169.64795427719295,1.0611000034259632,1208.8284000055864,0.0
1757509625,50,,Aggregated,110.500000,110.500000,6,10,160,360,650,840,1000,1100,1200,1200,1200,2185,2185,6,158.2595559266421,1.0611000034259632,1208.8284000055864,0.0
1757509626,50,,Aggregated,110.200000,110.200000,6,9,110,260,640,820,1000,1100,1200,1200,1200,2346,2346,6,147.8520447568869,1.0611000034259632,1208.8284000055864,0.0
1757509627,50,,Aggregated,109.000000,109.000000,6,8,22,210,620,810,1000,1100,1200,1200,1200,2511,2511,6,138.46734420530885,1.0611000034259632,1208.8284000055864,0.0
1757509628,50,,Aggregated,109.600000,109.600000,6,8,17,180,590,770,1000,1100,1200,1200,1200,2674,2674,6,130.6458442406367,1.0611000034259632,1208.8284000055864,0.0
